asvLen	totReads	numSamps
ASV.842	155	47	1
ASV.843	51	47	1
ASV.845	69	46	1
ASV.847	244	46	1
ASV.848	272	46	1
ASV.849	172	46	2
ASV.851	142	46	1
ASV.852	328	46	1
ASV.854	181	46	1
ASV.856	244	45	1
ASV.857	295	45	1
ASV.858	162	45	2
ASV.859	371	45	1
ASV.862	173	45	1
ASV.863	153	44	6
ASV.864	64	44	4
ASV.866	54	44	2
ASV.868	152	44	1
ASV.869	185	44	1
ASV.870	64	44	1
ASV.872	328	43	1
ASV.873	157	43	3
ASV.874	110	43	2
ASV.876	62	43	1
ASV.877	173	43	1
ASV.878	36	42	1
ASV.881	78	42	1
ASV.882	148	42	1
ASV.883	371	42	2
ASV.884	205	42	2
ASV.886	328	42	1
ASV.887	75	42	2
ASV.888	209	42	1
ASV.890	131	42	1
ASV.891	328	41	1
ASV.892	60	41	1
ASV.893	328	41	1
ASV.895	194	41	1
ASV.896	126	41	3
ASV.897	195	41	1
ASV.898	164	41	1
ASV.899	171	41	2
ASV.900	328	41	1
ASV.902	130	41	1
ASV.903	136	41	1
ASV.906	64	40	2
ASV.908	166	40	2
ASV.909	303	40	1
ASV.910	280	40	7
ASV.911	247	40	1
ASV.912	77	40	1
ASV.913	228	40	1
ASV.914	202	40	2
ASV.915	265	40	2
ASV.916	328	40	1
ASV.917	328	40	1
ASV.918	181	40	1
ASV.919	73	40	1
ASV.920	364	39	1
ASV.921	76	39	3
ASV.922	64	39	2
ASV.923	126	39	3
ASV.924	211	39	1
ASV.925	40	39	3
ASV.927	145	39	1
ASV.928	75	39	3
ASV.929	284	39	2
ASV.931	133	39	1
ASV.932	149	39	1
ASV.933	328	39	1
ASV.935	126	39	1
ASV.937	165	38	2
ASV.939	70	38	3
ASV.941	42	38	2
ASV.943	48	38	2
ASV.944	82	38	2
ASV.945	62	38	1
ASV.947	328	38	1
ASV.948	328	38	1
ASV.949	322	38	1
ASV.950	68	37	3
ASV.951	175	37	1
ASV.952	136	37	3
ASV.953	331	37	1
ASV.955	89	37	2
ASV.956	41	37	2
ASV.957	96	37	1
ASV.958	328	37	1
ASV.959	64	36	5
ASV.960	328	36	1
ASV.961	84	36	1
ASV.963	58	36	2
ASV.964	59	36	1
ASV.965	256	36	1
ASV.966	280	36	1
ASV.967	62	36	3
ASV.969	98	36	4
ASV.970	133	36	4
ASV.972	328	35	1
ASV.974	60	35	1
ASV.975	204	35	1
