asvLen	totReads	numSamps
ASV.1441	76	278	1
ASV.1443	48	277	8
ASV.1444	102	277	1
ASV.1447	48	275	1
ASV.1448	110	275	1
ASV.1449	99	275	1
ASV.1450	47	275	1
ASV.1451	109	275	1
ASV.1453	85	274	2
ASV.1454	58	274	1
ASV.1455	89	274	1
ASV.1456	99	274	1
ASV.1457	55	274	1
ASV.1458	121	273	1
ASV.1459	137	273	1
ASV.1461	83	272	1
ASV.1462	62	272	1
ASV.1463	91	271	1
ASV.1464	45	271	1
ASV.1465	90	271	1
ASV.1466	224	270	1
ASV.1467	52	270	1
ASV.1469	73	270	1
ASV.1470	110	270	1
ASV.1471	85	270	2
ASV.1472	146	269	1
ASV.1473	142	268	1
ASV.1474	98	268	1
ASV.1476	145	268	1
ASV.1478	59	267	1
ASV.1480	65	267	2
ASV.1484	314	266	1
ASV.1485	89	265	1
ASV.1486	55	265	1
ASV.1487	115	265	1
ASV.1489	109	264	1
ASV.1490	145	264	1
ASV.1491	127	263	1
ASV.1492	104	263	1
ASV.1493	152	263	3
ASV.1494	57	263	1
ASV.1496	86	263	1
ASV.1498	187	263	1
ASV.1499	142	263	1
ASV.1500	43	263	2
ASV.1501	47	263	1
ASV.1503	138	262	1
ASV.1505	205	261	1
ASV.1506	126	261	1
ASV.1507	96	261	1
ASV.1511	72	260	1
ASV.1512	60	260	2
ASV.1513	41	260	1
ASV.1514	96	259	1
ASV.1515	46	259	1
ASV.1516	67	258	1
ASV.1518	52	258	2
ASV.1519	201	258	2
ASV.1520	58	258	2
ASV.1521	104	257	1
ASV.1524	44	257	3
ASV.1525	173	257	1
ASV.1526	52	256	1
ASV.1527	39	256	1
ASV.1529	65	255	1
