SRR19399856	SRR19399857	SRR19399858	SRR19399859	SRR19399860	SRR19399861	SRR19399862	SRR19399863	SRR19399864	SRR19399865	SRR19399866	SRR19399867	SRR19399868	SRR19399869	SRR19399870	SRR19399871	SRR19399872	SRR19399873	SRR19399874	SRR19399875	SRR19399876	SRR19399877	SRR19399878	SRR19399879	SRR19399880	SRR19399881	SRR19399882	SRR19399883	SRR19399884
ASV.178	0	0	0	0	0	0	0	0	14	0	0	642	0	0	0	0	0	0	159	9	0	0	0	0	0	0	0	0	0
ASV.179	0	0	0	0	0	0	0	114	4	4	0	649	16	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0
ASV.180	0	0	0	0	0	0	0	0	118	369	0	178	142	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
ASV.181	0	556	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0
ASV.184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	462	0	0	0	0	0	0	0	0	0	0
ASV.186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	527	0	0	0	0	0	0	0	0	0	0
ASV.187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	767	0	0	0	0	0
ASV.188	0	0	0	0	0	0	0	0	27	338	236	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.189	0	0	0	0	0	0	0	0	20	434	28	70	0	0	0	0	0	59	128	19	0	0	0	0	0	0	0	0	0
ASV.190	0	0	0	0	0	0	0	0	0	0	0	756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.191	0	0	0	0	0	0	0	0	746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.194	0	0	0	0	321	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	217	0	0	0	0	0	0
ASV.195	0	287	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	293	0	0
ASV.196	0	0	0	0	0	0	0	0	6	296	0	370	0	16	0	7	0	18	14	0	0	0	0	0	0	0	0	0	0
ASV.198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	0	0	283	0	0	0	0	0
ASV.199	0	0	0	0	0	0	0	0	12	97	0	122	302	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0
ASV.200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	524	87	0	0	0	0	0	0	0	0	0	0
ASV.201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	716	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.202	0	0	0	0	0	0	0	0	0	703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.203	0	0	0	0	0	0	0	42	0	0	0	0	0	608	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0
ASV.204	537	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.205	0	0	0	0	701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
