asvLen	totReads	numSamps
ASV.947	182	138	3
ASV.948	179	138	1
ASV.949	259	138	3
ASV.950	225	137	2
ASV.951	82	137	9
ASV.952	226	137	1
ASV.953	93	137	1
ASV.954	255	137	1
ASV.955	172	136	7
ASV.956	177	136	4
ASV.958	180	136	4
ASV.960	217	135	3
ASV.961	46	135	8
ASV.962	113	135	2
ASV.963	84	135	3
ASV.964	321	135	1
ASV.965	99	135	3
ASV.966	38	135	1
ASV.968	461	134	1
ASV.969	208	134	1
ASV.970	207	134	1
ASV.972	191	134	4
ASV.973	148	134	1
ASV.974	265	134	1
ASV.976	62	134	1
ASV.977	95	134	2
ASV.978	197	134	1
ASV.979	207	134	1
ASV.980	457	133	4
ASV.981	118	133	1
ASV.982	187	133	6
ASV.983	132	133	1
ASV.984	122	133	5
ASV.986	47	133	2
ASV.987	287	133	1
ASV.988	321	133	1
ASV.990	94	133	1
ASV.991	174	133	2
ASV.993	106	132	1
ASV.994	142	132	2
ASV.995	75	132	1
ASV.997	328	132	1
ASV.998	54	131	9
ASV.999	45	131	3
ASV.1001	123	131	3
ASV.1002	182	131	4
ASV.1003	198	131	1
ASV.1005	356	131	1
ASV.1006	321	131	1
ASV.1008	51	130	1
ASV.1009	195	130	1
ASV.1010	328	130	1
ASV.1011	271	130	1
ASV.1012	230	130	1
ASV.1013	217	129	2
ASV.1014	49	129	6
ASV.1015	176	129	4
ASV.1016	172	129	1
ASV.1017	94	129	1
ASV.1018	49	128	2
ASV.1019	280	128	2
ASV.1020	63	128	1
ASV.1023	328	128	2
ASV.1024	328	128	1
ASV.1025	258	127	1
ASV.1026	64	127	11
ASV.1027	90	127	4
ASV.1030	91	127	1
ASV.1031	105	127	1
ASV.1032	275	127	1
ASV.1033	376	127	1
ASV.1034	284	127	1
ASV.1035	217	127	1
ASV.1036	143	126	3
ASV.1037	77	126	6
ASV.1038	85	126	1
ASV.1039	62	126	1
ASV.1040	182	126	1
ASV.1041	249	125	1
ASV.1042	115	125	4
ASV.1043	177	125	8
ASV.1044	128	125	2
ASV.1045	167	125	3
ASV.1046	265	125	1
ASV.1047	321	125	2
ASV.1048	152	125	1
ASV.1049	105	125	1
ASV.1050	328	125	1
ASV.1051	247	125	1
ASV.1052	181	125	2
ASV.1053	271	124	4
ASV.1054	328	124	1
ASV.1055	35	124	1
ASV.1056	317	124	3
ASV.1058	48	124	4
ASV.1059	81	124	1
ASV.1060	61	124	1
ASV.1061	322	124	1
ASV.1062	215	123	6
ASV.1063	130	123	2
ASV.1064	59	123	5
ASV.1065	58	123	2
ASV.1066	84	123	4
ASV.1067	142	123	4
ASV.1068	162	123	4
ASV.1069	63	123	1
ASV.1070	243	123	1
ASV.1071	106	122	4
ASV.1072	234	122	1
ASV.1073	132	122	1
ASV.1074	167	122	3
ASV.1075	338	122	3
ASV.1076	288	122	1
ASV.1077	105	122	1
ASV.1079	287	122	1
ASV.1080	227	122	1
ASV.1081	227	121	1
ASV.1082	328	121	1
ASV.1083	84	121	5
ASV.1084	48	121	1
ASV.1085	134	121	1
ASV.1086	52	121	1
ASV.1087	130	121	1
ASV.1088	106	121	1
ASV.1089	160	121	3
ASV.1091	123	120	4
ASV.1092	231	120	1
ASV.1093	178	120	7
ASV.1094	46	120	1
ASV.1096	259	120	1
ASV.1097	63	120	5
ASV.1098	332	120	1
ASV.1100	322	119	1
ASV.1102	40	119	1
ASV.1103	251	119	1
ASV.1104	104	119	4
ASV.1106	69	119	1
ASV.1107	220	119	1
ASV.1108	253	118	2
ASV.1110	328	118	1
ASV.1111	205	118	2
ASV.1112	247	118	1
ASV.1113	330	118	3
ASV.1114	278	118	2
ASV.1115	72	117	5
ASV.1117	103	117	1
ASV.1119	111	117	4
ASV.1121	89	117	1
ASV.1122	227	117	1
ASV.1123	272	117	1
ASV.1124	203	116	1
ASV.1125	426	116	1
ASV.1129	362	115	1
ASV.1130	50	115	8
ASV.1132	112	115	6
ASV.1133	80	115	4
ASV.1134	313	115	1
ASV.1135	52	115	4
ASV.1136	124	115	4
ASV.1137	110	115	2
ASV.1139	171	115	3
ASV.1141	328	115	1
ASV.1142	296	115	1
ASV.1145	144	114	2
ASV.1147	60	114	6
ASV.1148	286	114	2
ASV.1149	166	114	5
ASV.1150	188	114	4
ASV.1151	55	114	1
ASV.1152	93	114	1
ASV.1154	65	113	8
ASV.1155	88	113	3
ASV.1156	127	113	1
ASV.1157	201	113	1
ASV.1159	108	113	1
ASV.1160	328	113	1
ASV.1161	354	113	1
ASV.1162	328	112	2
ASV.1163	140	112	3
ASV.1164	186	112	5
ASV.1165	143	112	5
ASV.1166	265	112	1
ASV.1167	120	112	5
ASV.1168	285	112	2
ASV.1169	34	112	1
ASV.1170	333	112	2
ASV.1171	351	111	1
ASV.1172	218	111	1
ASV.1173	55	111	8
ASV.1174	136	111	6
ASV.1175	71	111	2
ASV.1176	115	111	4
ASV.1178	173	111	1
ASV.1179	49	111	1
ASV.1181	217	111	2
ASV.1182	212	110	1
ASV.1183	328	110	1
ASV.1184	328	110	1
ASV.1185	103	110	2
ASV.1186	70	110	2
ASV.1188	149	110	2
ASV.1189	353	110	1
ASV.1190	197	110	3
ASV.1192	37	110	2
ASV.1193	274	110	1
ASV.1194	264	110	1
ASV.1195	291	110	1
ASV.1197	403	109	1
ASV.1198	328	109	1
ASV.1200	106	109	1
ASV.1201	121	109	3
ASV.1202	232	109	1
ASV.1203	100	109	1
ASV.1204	363	109	2
ASV.1205	61	109	1
ASV.1206	328	109	1
ASV.1207	275	109	1
ASV.1208	272	109	1
ASV.1209	355	109	1
ASV.1210	328	108	1
ASV.1211	125	108	3
ASV.1212	127	108	4
ASV.1213	110	108	3
ASV.1215	103	108	1
ASV.1216	72	108	1
ASV.1217	89	108	1
ASV.1218	328	108	1
ASV.1219	57	107	7
ASV.1220	280	107	1
ASV.1221	132	107	1
ASV.1222	72	107	2
ASV.1223	209	107	1
ASV.1224	69	107	1
ASV.1225	160	107	2
ASV.1226	267	107	2
ASV.1227	187	107	1
ASV.1228	59	107	4
ASV.1229	57	107	4
ASV.1230	53	107	2
ASV.1231	76	107	1
ASV.1232	140	107	1
ASV.1234	233	106	1
ASV.1235	328	106	2
ASV.1236	130	106	1
ASV.1239	124	106	2
ASV.1240	196	106	4
ASV.1241	307	106	1
ASV.1242	87	106	3
ASV.1243	72	106	1
ASV.1244	186	106	1
ASV.1246	325	105	1
ASV.1247	200	105	2
ASV.1248	249	105	1
ASV.1249	124	105	1
ASV.1252	179	105	2
ASV.1253	328	105	1
ASV.1254	45	105	1
ASV.1255	54	105	2
ASV.1256	92	105	2
ASV.1257	64	105	2
ASV.1258	38	105	1
ASV.1259	198	105	2
ASV.1260	366	104	1
ASV.1261	64	104	1
ASV.1263	100	104	5
ASV.1264	84	104	5
ASV.1265	66	104	4
ASV.1266	328	104	2
ASV.1267	231	104	1
ASV.1268	95	104	1
ASV.1269	358	104	1
ASV.1270	58	103	2
ASV.1271	56	103	1
ASV.1272	123	103	2
ASV.1273	145	103	6
ASV.1274	193	103	3
ASV.1275	147	103	6
ASV.1276	328	102	1
ASV.1279	126	102	5
ASV.1280	146	102	2
ASV.1282	102	102	3
ASV.1283	124	102	3
ASV.1284	91	102	2
ASV.1285	171	102	1
ASV.1286	40	102	1
ASV.1287	328	101	1
ASV.1289	124	101	3
ASV.1291	91	101	3
ASV.1292	110	101	2
ASV.1293	110	101	2
ASV.1294	182	101	2
ASV.1295	203	100	3
ASV.1296	328	100	1
ASV.1297	37	100	2
ASV.1299	244	100	3
ASV.1300	160	100	1
ASV.1301	53	100	6
ASV.1302	160	100	4
ASV.1303	108	100	3
ASV.1304	98	100	1
ASV.1306	111	99	6
ASV.1307	136	99	1
ASV.1308	90	99	1
ASV.1309	84	99	1
ASV.1310	115	99	1
ASV.1311	174	99	1
ASV.1312	131	99	2
ASV.1314	38	99	1
ASV.1316	291	99	1
ASV.1318	240	98	2
ASV.1319	169	98	3
ASV.1320	116	98	5
ASV.1322	102	98	2
ASV.1323	292	98	1
ASV.1326	100	98	3
ASV.1327	328	98	1
ASV.1328	188	98	2
ASV.1329	190	98	1
ASV.1331	380	98	1
ASV.1332	174	97	3
ASV.1334	44	97	2
ASV.1335	330	97	2
ASV.1336	95	97	2
ASV.1337	246	97	2
ASV.1338	328	97	1
ASV.1339	62	97	1
ASV.1341	328	97	1
ASV.1342	291	97	1
ASV.1343	225	96	1
ASV.1344	328	96	1
ASV.1346	174	96	3
ASV.1347	94	96	2
ASV.1348	136	96	4
ASV.1349	57	96	1
ASV.1350	183	96	3
ASV.1351	165	96	1
ASV.1352	174	96	2
ASV.1353	256	96	1
ASV.1355	147	96	2
ASV.1356	207	96	3
ASV.1357	206	96	1
ASV.1358	188	96	1
ASV.1359	108	96	1
ASV.1360	263	96	1
ASV.1361	341	96	1
ASV.1362	257	96	1
ASV.1363	278	96	1
ASV.1364	67	95	2
ASV.1365	46	95	1
ASV.1366	165	95	1
ASV.1367	184	95	1
ASV.1368	247	95	1
ASV.1369	328	95	2
ASV.1370	67	95	1
ASV.1371	241	95	1
ASV.1372	136	95	1
ASV.1373	85	95	1
ASV.1374	273	95	1
