SRR11948576	SRR11948577	SRR11948578	SRR11948579	SRR11948580	SRR11948581	SRR11948582	SRR11948583	SRR11948584	SRR11948585	SRR11948586	SRR11948587	SRR11948588	SRR11948589
ASV.330	0	0	0	0	0	50	0	0	0	0	0	0	0	0
ASV.331	0	0	0	0	0	0	0	0	0	0	0	50	0	0
ASV.334	0	0	0	0	0	0	0	48	0	0	0	0	0	0
ASV.338	0	0	0	0	0	0	0	0	0	47	0	0	0	0
ASV.339	0	0	0	0	0	0	0	0	0	0	0	0	0	47
ASV.342	0	0	0	0	0	46	0	0	0	0	0	0	0	0
ASV.344	0	0	0	0	0	0	0	0	0	0	0	0	0	45
ASV.345	21	0	0	0	0	0	0	0	23	0	0	0	0	0
ASV.346	0	0	0	0	0	44	0	0	0	0	0	0	0	0
ASV.347	0	0	0	0	0	44	0	0	0	0	0	0	0	0
ASV.349	0	0	0	0	0	0	0	0	0	44	0	0	0	0
ASV.352	0	0	0	0	0	0	0	0	0	43	0	0	0	0
ASV.353	0	0	0	0	0	0	0	0	0	43	0	0	0	0
ASV.355	0	0	0	0	0	0	0	0	0	0	0	0	0	43
ASV.356	0	0	0	0	0	42	0	0	0	0	0	0	0	0
ASV.357	0	0	0	0	0	42	0	0	0	0	0	0	0	0
ASV.358	0	0	0	0	0	0	0	0	0	42	0	0	0	0
ASV.359	0	0	0	0	0	0	0	0	0	42	0	0	0	0
ASV.363	0	0	0	0	0	19	0	22	0	0	0	0	0	0
ASV.364	0	0	0	0	0	41	0	0	0	0	0	0	0	0
ASV.367	40	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.370	0	0	0	0	0	0	0	0	0	40	0	0	0	0
ASV.371	0	0	0	0	0	0	0	0	0	40	0	0	0	0
ASV.374	0	0	0	0	0	39	0	0	0	0	0	0	0	0
ASV.375	0	0	0	0	0	0	0	0	0	39	0	0	0	0
ASV.379	0	0	0	0	0	0	0	38	0	0	0	0	0	0
ASV.380	0	0	0	0	0	0	0	0	38	0	0	0	0	0
ASV.381	0	0	0	0	0	0	0	0	0	38	0	0	0	0
ASV.382	0	0	0	0	0	0	0	0	0	0	0	0	0	38
ASV.383	15	0	0	0	0	0	0	0	19	0	3	0	0	0
ASV.385	0	0	0	37	0	0	0	0	0	0	0	0	0	0
ASV.387	0	0	0	0	0	37	0	0	0	0	0	0	0	0
ASV.389	0	0	0	0	0	0	0	37	0	0	0	0	0	0
ASV.390	0	0	0	0	0	0	0	37	0	0	0	0	0	0
ASV.391	0	0	0	36	0	0	0	0	0	0	0	0	0	0
ASV.394	0	10	0	25	0	0	0	0	0	0	0	0	0	0
